nct_id,title,status,study_type,intervention_type,phase,locations,start_date,completion_date,enrollment
NCT06347094,Precision Nutrition to Improve Cardiometabolic Health With Dietary (Poly)Phenols (PRE-CARE-DIET),RECRUITING,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'Personalized Dietary Plan', 'description': 'Prescription of dietary plans increasing the intake of (poly)phenols through consumption of foods rich in these compounds, in the context of a balanced, personalised diet', 'armGroupLabels': ['Metabotype X, Treatment', 'Metabotype Y, Treatment']}, {'type': 'DIETARY_SUPPLEMENT', 'name': 'Oral (Poly)phenol Challenge Test (OPCT)', 'description': 'Nutritional challenge with standardized (poly)phenol-rich tablets', 'armGroupLabels': ['Metabotype X, Control', 'Metabotype X, Treatment', 'Metabotype Y, Control', 'Metabotype Y, Treatment']}, {'type': 'OTHER', 'name': 'General Dietary Advice', 'description': 'Prescription of balanced dietary plans', 'armGroupLabels': ['Metabotype X, Control', 'Metabotype Y, Control']}]",['NA'],2,2024-04-22,2025-12-31,330.0
NCT02898766,Plasma Glucose and Insulin Response to Two Enteral Formulas in Persons With Type 2 Diabetes Mellitus,COMPLETED,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'Enteral Nutrition Formula', 'armGroupLabels': ['Enteral Nutrition Formula 1', 'Enteral Nutrition Formula 2']}]",['NA'],1,2016-08,2016-10,12.0
NCT02488213,Effect of Nutritional Counseling Based on Diet Quality on Metabolic Control in Patients With Type 2 Diabetes Mellitus: Randomized Clinical Trial,UNKNOWN,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'Nutritional Counseling', 'description': 'The patients with type 2 diabetes mellitus treated in Endocrinology Division, Hospital de Clinicas de Porto Alegre will receive nutritional counseling from the diet quality assessment with adopting some techniques of motivational interviewing, and delivery of educational support material. The patients will need to come to hospital for three more visits every two months throughout the study (2, 4, 6 months). They will also be contacted by telephone during the months when will not have query (1, 3 and 5 months). The study will total duration of six months.', 'armGroupLabels': ['Nutritional Counseling']}, {'type': 'OTHER', 'name': 'Usual Diet Guidance', 'description': 'The patients with type 2 diabetes mellitus treated in Endocrinology Division, Hospital de Clinicas de Porto Alegre will receive usual diet guidance from the current nutritional recommendations for diabetes, according to the routine performed. The patients will need to come to hospital for three more visits every two months throughout the study (2, 4, 6 months). They will also be contacted by telephone during the months when will not have query (1, 3 and 5 months). The study will total duration of six months.', 'armGroupLabels': ['Usual Diet Guidance']}]",['NA'],1,2015-01,2017-12,196.0
NCT02180334,The Effect of Combination of Mosapride and Dipeptidyl Peptidase-4 (DPP-4) Inhibitor on Plasma Concentration of Incretin Hormones,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Mosapride citrate', 'description': ""On the day of MMTT, 1 tablet (5 mg) of mosapride will be administered orally to participants of 'mosapride' arm. After 1 hour, MMTT will be performed."", 'armGroupLabels': ['Mosapride'], 'otherNames': ['Gasmotin®']}, {'type': 'DRUG', 'name': 'Linagliptin', 'description': 'During run-in period, 1 tablet (5mg) per day will provided for 7 days. On the day of MMTT, 1 tablet (5 mg) of linagliptin will be administered orally to participants of both arms. After 1 hour, MMTT will be performed.', 'armGroupLabels': ['Control', 'Mosapride'], 'otherNames': ['Trajenta®']}, {'type': 'DRUG', 'name': 'Acetaminophen (paracetamol)', 'description': 'On the day of MMTT, 3 tablets (1500 mg) of acetaminophen (paracetamol) will be administered orally to participants of both arms at the start of MMTT with manufactured mixed meal (0 min).', 'armGroupLabels': ['Control', 'Mosapride'], 'otherNames': ['Tylenol®']}]",['PHASE4'],1,2014-07,2015-04,12.0
NCT04503551,"A Phase III, Multicenter, Randomized Study of the Efficacy, Safety, and Pharmacokinetics of the Port Delivery System With Ranibizumab in Patients With Diabetic Retinopathy",COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'PDS Implant Pre-Filled with 100 mg/mL Ranibizumab', 'description': 'Will be administered as per the schedule described in individual arm.', 'armGroupLabels': ['Comparator Arm', 'PDS Arm']}, {'type': 'DRUG', 'name': 'Intravitreal Ranibizumab 0.5 mg Injection', 'description': 'Will be administered as per the schedule described in individual arm.', 'armGroupLabels': ['Comparator Arm', 'PDS Arm']}]",['PHASE3'],65,2020-08-10,2026-02-23,174.0
NCT03590158,The Metabolic Impacts of Time-restricted Feeding in Men at High Risk of Type 2 Diabetes,COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'TRF', 'description': 'Participants will be instructed to consume their habitual diet within a self-selected 10 hour period every day.', 'armGroupLabels': ['TRF']}]",['NA'],1,2018-07-17,2019-06-29,15.0
NCT03344692,"Effect of Alirocumab on Postprandial Hyperlipemia in Patients With Type 2 Diabetes : a Randomized, Double-blind, Placebo-controlled, Cross-over Trial""",COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Alirocumab', 'description': 'prefilled pen containing 75 mg of Praluent (Alirocumab) in 1 ml of solution', 'armGroupLabels': ['Alirocumab']}, {'type': 'OTHER', 'name': 'Placebo', 'description': 'prefilled pen containing 1 ml of solution without Praluent', 'armGroupLabels': ['Placebo']}]",['PHASE3'],1,2019-02-12,2022-04-28,22.0
NCT02127671,Comprehensive Cardiovascular Diseases (CVD) Risk Reduction Trial in Persons With Serious Mental Illness,COMPLETED,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'IDEAL intervention', 'armGroupLabels': ['IDEAL intervention']}, {'type': 'OTHER', 'name': 'Control', 'armGroupLabels': ['Control']}]",['NA'],1,2013-12-12,2018-11-16,269.0
NCT00364988,Combination Therapy With Pioglitazone and Losartan Provides Additional Renoprotection in Subjects With Type 2 Diabetic Nephropathy,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'pioglitazone+losartan', 'description': 'Pioglitazone (30 mg/daily) losartan (100 mg daily)'}, {'type': 'DRUG', 'name': 'losartan', 'description': 'losartan (100 mg daily)'}]",['NA'],0,2005-01,2006-01,60.0
NCT02538120,Assessment of the Neurovascular Microcirculatory Response in Diabetes Type 1,COMPLETED,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'Microvascular assessment', 'description': 'Microvascular assessment', 'armGroupLabels': ['Diabetes type 1 patients', 'Matched control-subjects']}]",['NA'],1,2012-05,2015-09,40.0
NCT07500324,"Identification And Validation Of Biomarkers In Ophthalmological Diseases (Age-Related Macular Degeneration, Diabetic Retinopathy And Retinal Detachment) Through Clinical Proteomic Approaches",RECRUITING,INTERVENTIONAL,"[{'type': 'DEVICE', 'name': 'Biological Sample Collection', 'description': ""Biological samples will be collected from study participants during routine clinical evaluation and/or standard surgical procedures. Samples include peripheral blood, tears, aqueous humor, vitreous humor, and subretinal fluid, depending on the patient's clinical condition and scheduled treatment.\n\nTear and blood samples will be obtained at baseline, while ocular fluids will be collected intraoperatively or during intravitreal procedures, without introducing additional risks or procedures beyond standard clinical care. All samples will be processed and analyzed using advanced clinical proteomics techniques, including high-resolution mass spectrometry, to identify and validate protein biomarkers associated with ophthalmological diseases."", 'armGroupLabels': ['Ophthalmic Patients Undergoing Clinical Proteomic Sampling'], 'otherNames': ['Collection of Ocular Fluids and Blood Samples', 'Ocular and Blood Sample Collection']}]",['NA'],1,2024-01-24,2027-01,260.0
NCT00811460,"A Double-blind, Crossover, Randomized, Placebo-controlled Study to Investigate the Effect of Two Different Doses of Taspoglutide IRF Administered as Continuous Subcutaneous Infusion on First- and Second-phase Insulin Secretion in Type 2 Diabetic Patients",COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Placebo', 'description': 'sc for 4 days', 'armGroupLabels': ['1']}, {'type': 'DRUG', 'name': 'taspoglutide', 'description': '300micrograms/day sc for 2 days', 'armGroupLabels': ['1']}, {'type': 'DRUG', 'name': 'taspoglutide', 'description': '800 micrograms/day sc for 2 days', 'armGroupLabels': ['1']}]",['PHASE1'],1,2008-11,2009-08,18.0
NCT01385397,Integrated Obesity Care Management System,COMPLETED,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'Preceptorship and virtual community', 'armGroupLabels': ['Preceptorship and virtual community']}]",['NA'],1,2006-09,,39.0
NCT04524832,A Randomised Trial Investigating Steady State Semaglutide Exposure of 25 and 50 mg of Oral Semaglutide in Different Formulations in Healthy Subjects,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Oral semaglutide', 'description': 'Participants will receive once daily semaglutide tablets (oral administration) in a dose escalating manner for 16 weeks', 'armGroupLabels': ['2 x Semaglutide C 25 mg', 'Semaglutide C 50 mg', 'Semaglutide D 50 mg', 'Semaglutide E 50 mg', 'Semaglutide F 50 mg']}]",['PHASE1'],1,2020-09-29,2022-02-25,290.0
NCT01298726,Pharmaceutical Care Program for Users of Brazilian Public Health Care System With Type 2 Diabetes Mellitus: Randomized Controlled Clinical Trial,COMPLETED,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'PHARMACEUTICAL CARE', 'description': 'The pharmaceutical care program was characterized by face to face monthly visits to collect information, register information, prepare plan of care for every health problem; identification of drug therapy problems, communication to prescribers the drug therapy problems identified and education of participants to resolve the drug therapy problems.', 'armGroupLabels': ['PHARMACEUTICAL CARE']}, {'type': 'OTHER', 'name': 'HEALTH USUAL CARE', 'description': 'Usual care as defined in health consultations with doctors, nutritionists and nurses, access to laboratory tests and essential medicines', 'armGroupLabels': ['HEALTH USUAL CARE']}]",['NA'],1,2010-01,2010-10,100.0
NCT02007278,Glycemic Excursions in Type 2 Diabetic Patients Treated With Vildagliptin and Metformin (GalvusMet) Versus Glimepiride and Metformin,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'vildagliptin and metformin (combination)', 'description': 'vildagliptin and metformin combination therapy as 50mg/850mg bid or 50mg/1000mg bid', 'armGroupLabels': ['vildagliptin and metformin']}, {'type': 'DRUG', 'name': 'glimepiride', 'armGroupLabels': ['glimepiride and metformin']}, {'type': 'DRUG', 'name': 'Metformin', 'armGroupLabels': ['glimepiride and metformin']}]",['PHASE4'],8,2014-01-03,2016-02-22,40.0
NCT07030543,Feasibility Of Individualized Dietary Plan (Idp) On Glycemic Control And Total Cholestrol In Diabetic Patients At Diabetes Hospital And Research Centre Peshawar,COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'Individualized Dietary Plan (IDP) for Type 2 Diabetes', 'description': 'This study evaluates the feasibility of an Individualized Dietary Plan (IDP), a structured, patient-tailored nutrition intervention designed to improve glycemic control and lipid profiles in adults with Type 2 Diabetes Mellitus (T2DM).', 'armGroupLabels': ['Individualized Dietary Plan (IDP) Group'], 'otherNames': ['Personalized Nutrition Therapy, Medical Nutrition Therapy (MNT), Diabetes-Specific Meal Plan']}, {'type': 'BEHAVIORAL', 'name': 'Usual care', 'description': 'Standard dietary advice as per the current clinical practice.', 'armGroupLabels': ['Standard Care Group']}]",['NA'],1,2025-02-01,2025-08-29,122.0
NCT03553680,An Emotion-Focused Psychosocial Intervention for Improved Glycemic Control in T2D Patients: A Pilot Study,COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'Emotion-Focused CBT', 'description': '10 CBT Sessions to improve emotional regulation and emotional intelligence.', 'armGroupLabels': ['Emotion-Focused CBT']}]",['NA'],1,2017-10-20,2018-10-19,20.0
NCT00130806,"A Study to Assess the Efficacy and Tolerability of MK0478 (Muraglitazar, Also, BMS 298585) Coadministered With Insulin in Patients With Type 2 Diabetes",TERMINATED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'MK0478 (muraglitazar)'}, {'type': 'DRUG', 'name': 'Comparator: placebo'}]",['PHASE3'],0,2005-09,2005-11,600.0
NCT03937934,Study Title: Food Rx,COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'Nutrition Education', 'description': 'Weekly box of healthy groceries and nutrition education including a recipe, food to make the recipe, extra fruit and vegetables.', 'armGroupLabels': ['Subjects with long term health condition']}]",['NA'],1,2019-05-20,2020-05-20,24.0
NCT03733873,Study on the Therapeutic Schedule and Mechanism of Suoquan Mixture Combined With Desmopressin to Children's Monosymptomatic Enuresis,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Desmopressin', 'description': 'take desmopressin for 3 months', 'armGroupLabels': ['desmopressin', 'desmopressin plus Suoquan'], 'otherNames': ['Minirin']}, {'type': 'DRUG', 'name': 'Suoquan', 'description': 'take Suoquan mixture for 3 months', 'armGroupLabels': ['desmopressin plus Suoquan'], 'otherNames': ['Suoquan mixture']}]",['NA'],1,2018-09-01,2020-07-30,400.0
NCT05332301,Exploring Sex Differences in the Acute Postprandial Metabolic Response to a High-fat Mixed Macronutrient Meal Challenge in Healthy Young Humans,RECRUITING,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'High-fat test meal', 'description': 'Ingestion of a mixed macronutrient breakfast meal providing 846 kcal, of which 58% is fat, 29% is carbohydrate and 13% is protein.', 'armGroupLabels': ['High-fat test meal']}]",['NA'],1,2022-10-04,2027-05-30,24.0
NCT00585897,"Title: Effects of Discontinuation of Sugar Sweetened Beverages on Hemoglobin A1c, Fasting and Post Prandial Blood Glucose in Type 2 Diabetics",COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'discontinuation of sugar sweetened beverages', 'description': 'Individual sessions which utilize motivational interviewing to assist participants to eliminate sugar sweetened beverages from their diet.', 'armGroupLabels': ['Behavioral counseling']}]",['NA'],1,2007-01,2008-07,5.0
NCT03818581,Effect of Suvorexant on Sleep Disturbance in Patients With Chronic Insomnia and Suboptimally Controlled Type 2 Diabetes: A Randomized 3-month Clinical Trial Using a Sequential Parallel Comparison Design,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Suvorexant', 'description': '10-mg or 20-mg Suvorexant capsules', 'armGroupLabels': ['Placebo Non-responders Re-randomized to Treatment', 'Treatment Group'], 'otherNames': ['Belsomra']}, {'type': 'OTHER', 'name': 'Placebo', 'description': 'Matching placebo capsules', 'armGroupLabels': ['Placebo Non-responders Re-randomized to Placebo', 'Placebo Non-responders Re-randomized to Treatment', 'Placebo Responders']}]",['PHASE4'],1,2019-03-15,2021-11-03,108.0
NCT01240785,Metformin Versus Insulin in Gestational Diabetes. A Randomized Controlled Single Center Trial.,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'metformin', 'description': 'metformin 1 g twice daily or maximum tolerated dose less than 2 g daily', 'armGroupLabels': ['Metformin'], 'otherNames': ['Diformin retard 500 mg']}, {'type': 'DRUG', 'name': 'insulin', 'description': 'subcutaneous Neutral Protamine Hagedorn (NPH) insulin and/or rapid acting insulin analog adjusted according to plasma glucose values until delivery', 'armGroupLabels': ['insulin'], 'otherNames': ['Protaphane', 'Humalog']}]",['PHASE4'],0,2006-06,2012-12,221.0
NCT02980627,iOmit: Reducing Intentional Insulin Misuse in Type 1 Diabetes,COMPLETED,INTERVENTIONAL,"[{'type': 'BEHAVIORAL', 'name': 'Therapy with Mobile App Enhancement', 'description': 'Treatment includes 12 weekly therapy sessions with daily RR app use between sessions. Intervention is CBT-based and specifically draws from ACT. ACT is a contextual behavior therapy that emphasizes the function of behavior (e.g., affect regulation) and helps individuals accept (or ""tolerate"") emotional discomfort for a broader purpose (i.e., personal values). Broadly, treatment will focus on improving diabetes management by increasing patients\' capacity to effectively cope with psychological barriers to self-care using acceptance and mindfulness strategies.', 'armGroupLabels': ['Therapy with Mobile App Enhancement'], 'otherNames': ['Recovery Record', 'Acceptance and Commitment Therapy', 'ACT', 'Mobile Technology']}]",['NA'],2,2016-03,2019-05-02,27.0
NCT06112418,A Randomized Comparison of Cleerly Coronary Artery Disease Stage-Based Care Versus Risk Factor-Based Care for Primary Prevention of Cardiovascular Events,RECRUITING,INTERVENTIONAL,"[{'type': 'DEVICE', 'name': 'The Cleerly CAD Staging System', 'description': 'The Cleerly CAD Staging System is software that utilizes a proprietary algorithm to identify CAD, stage the severity of CAD when present, and generate a prognostic risk score to inform treatment decisions that support CV disease prevention.', 'armGroupLabels': ['Cleerly Stage-Based Care']}]",['NA'],122,2024-03-06,2029-03-05,7500.0
NCT01781884,Effects Of Gamma Aminobutyric Acid On The Progression Of New Onset Juvenile,UNKNOWN,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Gamma Aminobutyric Acid (GABA)', 'description': 'two dosages will be used in this study. GABA: 50mg/kg/day and 100mg/kg/day', 'armGroupLabels': ['Gamma Aminobutyric Acid (GABA)', 'Gamma Aminobutyric Acid GABA)'], 'otherNames': ['Gamma Aminobutyric Acid']}, {'type': 'DRUG', 'name': 'Placebo', 'armGroupLabels': ['placebo']}]",['NA'],1,2013-01,2014-12,60.0
NCT01558271,A Phase 3 Study of LY2189265 Monotherapy Compared to Placebo and Liraglutide in Patients With Type 2 Diabetes Mellitus,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'LY2189265', 'armGroupLabels': ['LY2189265', 'Placebo/LY2189265'], 'otherNames': ['Dulaglutide']}, {'type': 'DRUG', 'name': 'Placebo', 'armGroupLabels': ['Placebo/LY2189265']}, {'type': 'DRUG', 'name': 'Liraglutide', 'armGroupLabels': ['Liraglutide']}]",['PHASE3'],14,2012-03,2014-05,492.0
NCT01160328,Influence of Male Hormones on Regional Fat Metabolism,COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Leuprolide', 'description': '7.5 mg - 1 month depot, 2 doses over 7 weeks', 'armGroupLabels': ['Lupron & Testosterone Group', 'Lupron Group'], 'otherNames': ['Lupron']}, {'type': 'DRUG', 'name': 'Testosterone', 'description': '7.5g - 1% testosterone gel, daily x 7 weeks', 'armGroupLabels': ['Lupron & Testosterone Group'], 'otherNames': ['AndroGel']}]",['PHASE1'],1,2010-06,2013-01,39.0
NCT06313008,"A Clinical Study Comparing Effects of Empagliflozin Versus Vildagliptin on Inflammatory Biomarkers, and Atrial Function in Coronary Artery Disease Patients With Type 2 Diabetes: EMBA-VILDA-Response Trial.",COMPLETED,INTERVENTIONAL,"[{'type': 'DRUG', 'name': 'Empagliflozin 10 MG', 'description': 'eligible subjects were randomly and equally assigned to the empagliflozin add-on group (empagliflozin 10 mg/ day).', 'armGroupLabels': ['Empagliflozin'], 'otherNames': ['Empa']}, {'type': 'DRUG', 'name': 'Vildagliptin 50 MG', 'description': 'eligible subjects were randomly and equally assigned to vildagliptin add-on group (vildagliptin 50 mg/day as the initial dose).', 'armGroupLabels': ['Vildagliptin'], 'otherNames': ['Vilda']}]",['NA'],1,2023-08-10,2024-10-10,120.0
NCT05827094,Pilot Evaluation of a Mobile Intervention to Support Mediterranean Diet (MedD) for Persons With Mild Alzheimer Disease and Alzheimer Disease Related Dementia's (AD/ADRD) and Frailty,COMPLETED,INTERVENTIONAL,"[{'type': 'OTHER', 'name': 'Mobile app', 'description': ""The main mobile intervention features. Tracking and immediate feedback: Pressing the icon launches a short series of questions with multiple-choice response options focusing on recent meals . The survey items are modeled after the 14-item Mediterranean Adherence Screener using simplified language and intuitive visuals to lower cognitive load. Based on responses to the survey, the app provides an intuitive visualization of the survey results, personalized feedback, and recipes on how to improve the person's diet. On-demand resources: individuals are able to access on-demand resources about the MedD diet, its benefits, and best dietary practices. The recipe page includes a personalized list of simple breakfast, lunch, dinner, and snack recipes based on the survey results with step by step instructions on how to prepare Mediterranean foods. In-app messaging: Individuals are able to receive notifications and send and receive messages."", 'armGroupLabels': ['Mobile Intervnetion']}, {'type': 'OTHER', 'name': 'Usual Care', 'description': 'Participants randomly allocated to the control group will receive educational materials on healthy eating, as provided on the NIA web page (https://www.nia.nih.gov/health/healthy-eating).', 'armGroupLabels': ['Usual Care']}]",['NA'],1,2023-06-06,2024-03-15,19.0
NCT04372836,Effect of Vasopressin Injection Technique in Laparoscopic Excision of Unilateral Ovarian Endometriomas on Ovarian Reserve: Prospective Randomized Study,UNKNOWN,INTERVENTIONAL,"[{'type': 'PROCEDURE', 'name': 'Vasopressin injection', 'description': ""The intervention consists of five steps: rupture the ovarian endometrial cyst and remove the ''chocolate fluid;'' inject diluted vasopressin solution into the interface between endometrioma and ovarian parenchyma; stop injecting until the solution overflow; separate the endometrioma away from the ovarian parenchyma; and coagulate bleeding spots and suture the ovary."", 'armGroupLabels': ['Study arm (with vasopressin injection)']}]",['NA'],1,2018-10-30,2021-08,76.0
